City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
154,Hambantota,LK,6.1241,81.1185,77.38,87,16,11.74,few clouds
155,Cururupu,BR,-1.8283,-44.8683,79.65,83,96,6.38,overcast clouds
156,Margate,GB,51.3813,1.3862,43.7,75,93,3.0,overcast clouds
157,Nanortalik,GL,60.1432,-45.2371,18.1,67,100,10.74,light snow
158,Salinas,US,36.6777,-121.6555,56.57,62,0,13.8,clear sky
159,Kaka,TM,37.3482,59.6143,43.0,58,1,7.76,clear sky
160,Mercedes,AR,-34.6515,-59.4307,87.85,26,0,8.48,clear sky
161,Alofi,NU,-19.0595,-169.9187,73.29,94,95,2.3,overcast clouds
162,Tuatapere,NZ,-46.1333,167.6833,58.82,95,49,2.48,scattered clouds
163,Adelaide,AU,-34.9333,138.6,73.04,63,0,0.0,clear sky
164,Leningradskiy,RU,69.3833,178.4167,-8.9,93,100,0.51,overcast clouds
165,Talnakh,RU,69.4865,88.3972,-11.49,97,89,8.66,overcast clouds
166,Tias,ES,28.9611,-13.645,64.15,59,0,8.05,clear sky
167,Filadelfia,US,39.9523,-75.1638,26.02,41,40,5.01,scattered clouds
168,Kulhudhuffushi,MV,6.6221,73.07,80.91,77,32,10.47,scattered clouds
169,Porto Santo,PT,33.072,-16.3415,68.31,82,40,16.11,scattered clouds
170,Antalaha,MG,-14.9003,50.2788,77.11,86,88,9.78,overcast clouds
171,Kuji,JP,40.1878,141.7689,22.59,69,34,13.78,scattered clouds
172,Mount Isa,AU,-20.7333,139.5,74.97,100,100,6.91,overcast clouds
173,Balkanabat,TM,39.5108,54.3671,46.22,46,70,8.72,broken clouds
174,Geraldton,AU,-28.7667,114.6,72.01,94,100,16.11,overcast clouds
175,Vanimo,PG,-2.6741,141.3028,77.09,87,99,9.84,moderate rain
176,Chichi,NG,7.2721,8.9332,86.76,11,70,8.75,broken clouds
177,Fortuna,US,40.5982,-124.1573,46.65,97,100,0.0,overcast clouds
178,Algiers,DZ,36.7525,3.042,53.42,67,0,5.75,clear sky
179,Piro,IN,25.3333,84.4167,53.53,68,0,0.34,clear sky
180,Innisfail,AU,-17.5333,146.0333,73.99,90,17,4.54,few clouds
181,Lebu,CL,-37.6167,-73.65,63.14,66,55,16.91,broken clouds
182,Hofn,IS,64.2539,-15.2082,27.46,49,67,22.66,broken clouds
183,Chuy,UY,-33.6971,-53.4616,79.66,55,99,12.64,overcast clouds
184,Iqaluit,CA,63.7506,-68.5145,-9.67,64,75,3.44,broken clouds
185,Valparaiso,CL,-33.0393,-71.6273,70.03,65,0,9.22,clear sky
186,Oktyabrskiy,RU,54.4815,53.471,24.12,96,100,4.99,overcast clouds
187,Muros,ES,42.7762,-9.0603,64.9,51,0,3.27,clear sky
188,Carnarvon,AU,-24.8667,113.6333,80.67,74,13,14.97,few clouds
189,Guerrero Negro,MX,27.9769,-114.0611,64.42,56,69,11.32,broken clouds
190,Porto-Vecchio,FR,41.591,9.2795,53.13,71,100,4.61,overcast clouds
191,Provideniya,RU,64.3833,-173.3,5.32,80,1,7.87,clear sky
192,Broome,US,42.2506,-75.833,20.21,65,0,4.0,clear sky
193,Ixtapa,MX,20.7,-105.2,78.03,50,0,2.3,clear sky
194,Ponta Do Sol,PT,32.6667,-17.1,69.71,50,0,7.63,clear sky
195,Seybaplaya,MX,19.65,-90.6667,71.06,51,27,5.66,scattered clouds
196,Canico,PT,32.6333,-16.85,69.71,71,20,1.99,few clouds
197,Knysna,ZA,-34.0363,23.0471,70.18,91,68,5.66,broken clouds
198,Lavrentiya,RU,65.5833,-171.0,-4.76,88,4,5.12,clear sky
199,Kidal,ML,18.4411,1.4078,77.13,12,2,11.14,clear sky
200,Pacifica,US,37.6138,-122.4869,55.81,87,20,5.99,mist
201,Taoudenni,ML,22.6783,-3.9836,79.9,13,91,14.36,overcast clouds
202,Tasiilaq,GL,65.6145,-37.6368,8.76,35,6,31.97,clear sky
203,Juneau,US,58.3019,-134.4197,34.21,94,100,10.36,light snow
204,Pangnirtung,CA,66.1451,-65.7125,-18.4,57,75,0.0,broken clouds
205,Shaunavon,CA,49.6501,-108.4181,31.78,75,89,5.53,overcast clouds
206,Dudinka,RU,69.4058,86.1778,-12.98,98,89,8.72,overcast clouds
207,Gat,IL,31.61,34.7642,54.39,100,6,3.44,clear sky
208,Taiyuan,CN,37.8694,112.5603,22.86,30,0,11.18,clear sky
209,Ribeira Grande,PT,38.5167,-28.7,59.4,72,40,19.57,scattered clouds
210,Pedasi,PA,7.5333,-80.0333,80.49,65,33,21.07,scattered clouds
211,Sorong,ID,-0.8833,131.25,81.18,77,100,8.97,overcast clouds
212,Kavaratti,IN,10.5669,72.642,81.37,71,42,9.55,scattered clouds
213,Kamenka,RU,51.3223,42.7678,24.75,93,100,13.06,overcast clouds
214,San Cristobal,VE,7.7669,-72.225,68.18,40,88,4.97,overcast clouds
215,Samarai,PG,-10.6167,150.6667,80.62,79,100,10.22,overcast clouds
216,Charters Towers,AU,-20.1,146.2667,73.53,82,3,5.14,clear sky
217,Karla,EE,59.3723,24.9275,29.14,84,100,11.5,overcast clouds
218,Mackenzie,CA,55.2999,-123.1698,32.22,93,100,6.91,overcast clouds
219,Suntar,RU,62.1444,117.6319,-17.1,99,55,3.89,broken clouds
220,Pisco,PE,-13.7,-76.2167,74.01,73,0,10.36,clear sky
221,Volary,CZ,48.9088,13.8866,35.62,76,51,16.17,broken clouds
222,Nizhnyaya Tavda,RU,57.6731,66.1725,-3.41,100,100,1.05,overcast clouds
223,Ler,SS,8.3018,30.1418,81.37,18,80,5.1,broken clouds
224,Kodiak,US,57.79,-152.4072,24.31,74,75,10.36,broken clouds
225,Lata,PT,40.1629,-8.3327,61.21,49,88,2.21,overcast clouds
226,Chalmette,US,29.9427,-89.9634,64.99,48,0,8.99,clear sky
227,Mlonggo,ID,-6.5333,110.7,79.16,84,100,5.68,light rain
228,Cayenne,GF,4.9333,-52.3333,80.64,84,100,5.01,overcast clouds
229,Mehamn,NO,71.0357,27.8492,32.18,64,75,23.02,broken clouds
230,Vestmanna,FO,62.1564,-7.1664,32.92,93,75,6.91,broken clouds
231,Tiksi,RU,71.6872,128.8694,-17.25,100,82,4.14,broken clouds
232,Great Yarmouth,GB,52.6083,1.7305,43.95,77,83,14.23,broken clouds
