City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
117,Road Town,VG,82.49,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
125,Acajutla,SV,84.79,clear sky,13.5928,-89.8275,Laureles
129,Batticaloa,LK,78.26,scattered clouds,7.7102,81.6924,Grand Star Guest House
140,Bengkulu,ID,76.51,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
144,Richards Bay,ZA,75.06,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
146,Hithadhoo,MV,81.97,overcast clouds,-0.6,73.0833,Scoop Guest House
148,Poum,NC,79.7,overcast clouds,-20.2333,164.0167,Gîte kajeon
152,East London,ZA,76.14,clear sky,-33.0153,27.9116,Tu Casa
154,Hambantota,LK,77.38,few clouds,6.1241,81.1185,Bungalow 63
155,Cururupu,BR,79.65,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
160,Mercedes,AR,87.85,clear sky,-34.6515,-59.4307,Posada del Inti Centro
168,Kulhudhuffushi,MV,80.91,scattered clouds,6.6221,73.07,Haajy Guest House 1
170,Antalaha,MG,77.11,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
175,Vanimo,PG,77.09,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
176,Chichi,NG,86.76,broken clouds,7.2721,8.9332,Ante Roland
183,Chuy,UY,79.66,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
188,Carnarvon,AU,80.67,few clouds,-24.8667,113.6333,Hospitality Carnarvon
193,Ixtapa,MX,78.03,clear sky,20.7,-105.2,Hotel Plaza Providencia
210,Pedasi,PA,80.49,scattered clouds,7.5333,-80.0333,Selina Pedasi
211,Sorong,ID,81.18,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
212,Kavaratti,IN,81.37,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
215,Samarai,PG,80.62,overcast clouds,-10.6167,150.6667,Nuli Sapi
227,Mlonggo,ID,79.16,light rain,-6.5333,110.7,Asia Metal Art
228,Cayenne,GF,80.64,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
237,Mahebourg,MU,80.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
242,Necochea,AR,76.03,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
250,Pilar,BR,87.73,overcast clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
257,Tibati,CM,77.36,overcast clouds,6.4667,12.6333,Tibati Hotel
261,Luanda,AO,79.32,overcast clouds,-8.8368,13.2343,Hotel Fórum
265,Aquiraz,BR,87.89,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
271,Cidreira,BR,76.84,clear sky,-30.1811,-50.2056,Hotel Castelo
273,Ribas Do Rio Pardo,BR,80.24,overcast clouds,-20.4431,-53.7592,Pousada Avenida
275,Tahoua,NE,84.18,clear sky,14.8888,5.2692,Bungalows Guesthouse
277,Padang,ID,75.25,moderate rain,-0.9492,100.3543,Mercure Padang
286,Tawau,MY,75.33,broken clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
287,Maracacume,BR,80.58,broken clouds,-2.0428,-45.9592,Hotel Ramos
290,Meulaboh,ID,78.15,broken clouds,4.1363,96.1285,Kost Pria
293,Puerto Carreno,CO,89.58,few clouds,6.189,-67.4859,Casa Hotel Victoria
294,Voh,NC,76.06,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
298,Manado,ID,75.97,scattered clouds,1.487,124.8455,Aryaduta Hotel
300,Katobu,ID,76.86,overcast clouds,-4.9408,122.5276,La Ode Husein
301,Port Elizabeth,ZA,77.09,few clouds,-33.918,25.5701,39 On Nile Guest House
304,Lorengau,PG,79.23,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
307,Matara,LK,76.95,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
315,Gambela,ET,86.68,few clouds,8.25,34.5833,Solomon Debebe Hotel
323,Cockburn Town,TC,78.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
332,Auki,SB,77.61,overcast clouds,-8.7676,160.7034,Auki Motel
334,San Andres,CO,84.22,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
335,Galesong,ID,77.02,overcast clouds,-5.3166,119.3661,Sapriadi Appy
